icao24,origin_country,velocity,on_ground
39de4f,France,225.5,False
4b1817,Switzerland,218.55,False
80162d,India,255.89,False
4b1819,Switzerland,7.72,True
aa8c39,United States,268.95,False
88044a,Thailand,230.54,False
39de4a,France,255.37,False
39de4d,France,82.75,False
a57b27,United States,258.71,False
7c6b2b,Australia,1.8,True
39de57,France,250.0,False
880459,Thailand,72.74,False
801645,India,0.0,True
842194,Japan,196.02,False
801643,India,209.54,False
440da5,Austria,203.37,False
39de51,France,233.22,False
80162f,India,253.63,False
39de53,France,250.71,False
39de55,France,188.25,False
39de54,France,221.04,False
e49405,Brazil,230.75,False
4b1803,Switzerland,239.85,False
8744f6,Japan,207.63,False
47be9c,Norway,48.1,False
80163d,India,68.37,False
4b1807,Switzerland,106.39,False
4b1800,Switzerland,11.32,True
7c6b31,Australia,251.8,False
801657,India,200.62,False
4952ca,Portugal,77.68,False
00b22d,South Africa,238.63,False
4952cc,Portugal,253.39,False
7c6b37,Australia,245.49,False
00b22c,South Africa,237.16,False
7c6b35,Australia,198.06,False
80160b,India,255.6,False
0d0c14,Mexico,233.44,False
7c6b0c,Australia,223.04,False
801623,India,248.45,False
4952d0,Portugal,247.66,False
801622,India,1.29,True
851914,Japan,307.6,False
80160f,India,133.29,False
4b181b,Switzerland,0.0,True
7c6b09,Australia,64.54,False
4952c3,Portugal,231.2,False
4952c4,Portugal,110.38,False
4952c6,Portugal,74.8,False
801629,India,139.15,False
488252,Poland,85.84,False
407a05,United Kingdom,216.6,False
39de45,France,239.66,False
39de48,France,187.15,False
39de49,France,209.94,False
8a02cb,Indonesia,230.77,False
7c6b18,Australia,232.52,False
7c6b17,Australia,229.14,False
4952aa,Portugal,238.71,False
4952ab,Portugal,238.77,False
7c6b14,Australia,259.76,False
39de42,France,223.74,False
39de41,France,157.97,False
39de44,France,243.89,False
4b180b,Switzerland,241.69,False
8a02d5,Indonesia,222.06,False
80166c,India,231.82,False
80166d,India,1.03,True
44028c,Austria,212.25,False
3c6666,Germany,168.84,False
8a02d4,Indonesia,221.58,False
4b1850,Switzerland,176.17,False
