icao24,origin_country,velocity,on_ground
a114f4,United States,75.62,False
a70b2f,United States,0.0,True
46b828,Greece,244.37,False
46b826,Greece,255.69,False
4cc2a6,Iceland,7.46,True
ab6fbf,United States,221.85,False
47880f,Norway,204.91,False
ac2f37,United States,8.75,True
a928e8,United States,270.6,False
a1775f,United States,260.11,False
a8453e,United States,105.07,False
758368,Philippines,2.83,True
800dab,India,223.34,False
8014a3,India,72.57,False
7c7ccc,Australia,252.42,False
4aca9a,Sweden,240.14,False
7c7cce,Australia,234.47,False
a4d7dc,United States,4.63,True
87455c,Japan,215.63,False
e49ec9,Brazil,7.72,True
ad071d,United States,169.52,False
a2cd68,United States,253.62,False
343194,Spain,207.91,False
a3a4dd,United States,77.07,False
73306c,Islamic Republic of Iran,226.91,False
c0481b,Canada,42.57,False
7c7cc1,Australia,71.39,False
a4c4bb,United States,188.73,False
861e9a,Japan,98.09,False
a00929,United States,200.62,False
4aca82,Sweden,229.39,False
43ee32,United Kingdom,133.97,False
393323,France,213.04,False
ad072c,United States,164.75,False
4aca86,Sweden,238.38,False
ad67bf,United States,54.57,False
4aca88,Sweden,220.49,False
4aca87,Sweden,240.34,False
a65449,United States,260.27,False
e07584,Argentina,117.33,False
e07583,Argentina,228.38,False
51603f,Montenegro,231.0,False
ab14d9,United States,211.87,False
a91700,United States,188.77,False
a1b449,United States,218.24,False
a5f7dc,United States,241.0,False
4aca93,Sweden,5.92,True
4aca92,Sweden,231.92,False
4aca95,Sweden,226.62,False
4aca94,Sweden,264.13,False
4aca96,Sweden,251.61,False
4aca99,Sweden,226.05,False
4aca98,Sweden,223.08,False
a3ed91,United States,192.04,False
34448d,Spain,147.02,False
4aca8b,Sweden,228.12,False
4aca8a,Sweden,230.37,False
4aca8d,Sweden,190.04,False
4aca8f,Sweden,128.12,False
a3f401,United States,232.03,False
8014e3,India,178.77,False
a27197,United States,275.24,False
e49eee,Brazil,257.39,False
8014dc,India,13.38,True
861e78,Japan,210.99,False
e49ef0,Brazil,73.41,False
3d0b28,Germany,44.19,False
8014de,India,213.07,False
e49ef1,Brazil,173.31,False
85188c,Japan,0.0,True
e49ef9,Brazil,102.69,False
758339,Philippines,235.91,False
8014f3,India,152.28,False
86cec5,Japan,299.75,False
344481,Spain,177.41,False
0ca2fe,Antigua and Barbuda,151.13,False
a41487,United States,213.49,False
49530c,Portugal,182.7,False
8014ed,India,144.35,False
e0b254,Argentina,203.39,False
4400ec,Austria,176.0,False
4400eb,Austria,218.34,False
adb7b8,United States,237.68,False
4400f9,Austria,271.22,False
471f9e,Hungary,234.93,False
84cb66,Japan,221.9,False
758305,Philippines,121.53,False
758304,Philippines,92.21,False
8014c1,India,151.62,False
4520fb,Bulgaria,205.72,False
343141,Spain,232.18,False
8014c5,India,31.42,False
8a043a,Indonesia,219.34,False
516097,Montenegro,80.77,False
e49eca,Brazil,226.34,False
a65408,United States,0.0,True
471f86,Hungary,224.18,False
495306,Portugal,3.34,True
abc780,United States,242.0,False
ac21af,United States,240.94,False
a3914c,United States,68.42,False
8014bd,India,172.56,False
471f6a,Hungary,237.88,False
a4bdb9,United States,173.93,False
471f6d,Hungary,158.66,False
e0b284,Argentina,180.62,False
3b7b88,France,62.67,False
e49ed5,Brazil,0.9,True
e48ba7,Brazil,224.3,False
471f6b,Hungary,229.75,False
495303,Portugal,82.55,False
a4278e,United States,267.92,False
8014d6,India,192.5,False
abad6c,United States,121.42,False
8014ce,India,0.0,True
471f7a,Hungary,235.67,False
344459,Spain,214.21,False
8014d9,India,225.5,False
344455,Spain,218.43,False
758308,Philippines,231.21,False
3c6746,Germany,247.98,False
471f68,Hungary,246.25,False
3c6745,Germany,198.53,False
aa0909,United States,186.27,False
3c6743,Germany,181.53,False
440cff,Austria,232.6,False
3c6749,Germany,65.27,False
7c6a8c,Australia,182.94,False
3c6747,Germany,158.89,False
408086,United Kingdom,237.87,False
408087,United Kingdom,148.43,False
a9178d,United States,220.83,False
471f64,Hungary,234.69,False
471f62,Hungary,8.75,True
e49369,Brazil,6.17,True
471f4c,Hungary,224.37,False
3c6741,Germany,228.35,False
a8f77c,United States,9.26,True
344446,Spain,230.46,False
a7b133,United States,122.54,False
3c6757,Germany,146.65,False
a1bfb2,United States,259.4,False
471f71,Hungary,226.34,False
e4803d,Brazil,129.97,False
3c674a,Germany,140.09,False
471f74,Hungary,224.14,False
440cf8,Austria,218.3,False
e48043,Brazil,196.89,False
40805d,United Kingdom,195.74,False
7809b7,China,214.52,False
