icao24,origin_country,velocity,on_ground
ac1c10,United States,94.58,False
a09281,United States,40.67,False
80162d,India,164.06,False
ad4f1c,United States,49.65,False
a59540,United States,93.42,False
c81bd2,New Zealand,52.93,False
408120,United Kingdom,194.59,False
7c6b2d,Australia,141.02,False
408121,United Kingdom,256.96,False
a57b27,United States,239.44,False
a53edd,United States,116.91,False
ade18c,United States,132.85,False
ad19bc,United States,184.05,False
7c6b40,Australia,69.8,False
7c1bd8,Australia,51.1,False
ab6fdd,United States,144.02,False
a3feee,United States,63.52,False
842194,Japan,243.33,False
a3b87f,United States,3.6,True
c07d20,Canada,146.62,False
a21b66,United States,61.24,False
4b1803,Switzerland,0.0,True
a21b85,United States,52.78,False
a1c5ef,United States,161.23,False
a09294,United States,6.59,False
aa56d5,United States,4.12,True
a3687e,United States,187.73,False
7c6b1c,Australia,196.76,False
acdfa6,United States,129.85,False
c81bce,New Zealand,90.94,False
ac4963,United States,264.64,False
a9a0fb,United States,49.52,False
7c1bc9,Australia,74.94,False
aaef60,United States,219.54,False
4952cb,Portugal,186.01,False
a9039c,United States,133.56,False
a282e5,United States,197.55,False
7c6b37,Australia,71.2,False
8a02ea,Indonesia,175.64,False
4952ce,Portugal,63.79,False
a36898,United States,259.79,False
a665c5,United States,10.8,True
a10e8b,United States,252.82,False
a41ee6,United States,152.14,False
a36880,United States,78.99,False
80160b,India,145.08,False
801616,India,264.27,False
ab63c2,United States,70.15,False
7c6b0d,Australia,227.08,False
7c6b0c,Australia,195.46,False
a70b23,United States,111.55,False
7c6b0b,Australia,244.2,False
abacb6,United States,219.7,False
0d0c18,Mexico,125.22,False
a22233,United States,46.53,False
ac96be,United States,263.39,False
ad562a,United States,239.55,False
a1befc,United States,258.09,False
a798ea,United States,49.68,False
7c6b28,Australia,203.51,False
80160f,India,123.09,False
ab63bc,United States,188.85,False
a21b44,United States,0.0,True
a71212,United States,88.21,False
a35555,United States,98.37,False
a08b7c,United States,287.82,False
a46e40,United States,227.81,False
a1d8fd,United States,250.12,False
ac1c45,United States,50.86,False
ad5623,United States,254.15,False
80161c,India,257.46,False
ac231d,United States,93.17,False
a6c8cd,United States,52.43,False
aa56b3,United States,188.49,False
a665f1,United States,168.6,False
4952c3,Portugal,1.29,True
acf9d2,United States,204.06,False
4952c4,Portugal,205.53,False
c822df,New Zealand,144.61,False
a1c5e0,United States,181.68,False
acdfab,United States,187.56,False
4952c7,Portugal,195.83,False
abc6ce,United States,5.4,True
a2cba6,United States,278.36,False
a1025a,United States,230.2,False
440db0,Austria,233.94,False
ac2f5a,United States,193.46,False
a2ded8,United States,0.0,True
7c6b18,Australia,1.8,True
a33b1e,United States,221.42,False
7c6b17,Australia,0.32,True
4952aa,Portugal,227.48,False
a545fc,United States,11.32,True
a2355d,United States,181.72,False
7c6b14,Australia,98.81,False
a282c6,United States,44.38,False
80166c,India,257.66,False
ac498c,United States,198.72,False
acd3a4,United States,44.66,False
adeca5,United States,212.27,False
a2228b,United States,232.81,False
a45b82,United States,153.03,False
ac2f89,United States,81.88,False
aad012,United States,216.45,False
511189,Estonia,183.05,False
aadc4a,United States,53.66,False
4acb01,Sweden,62.86,False
ab50b9,United States,38.24,False
801685,India,182.06,False
a47597,United States,77.68,False
ad3c1f,United States,199.88,False
e49443,Brazil,144.56,False
e49445,Brazil,224.83,False
e49446,Brazil,230.28,False
4bc8c3,Turkey,181.85,False
e80258,Chile,243.24,False
abb3b6,United States,113.87,False
ab0361,United States,238.38,False
80167c,India,114.21,False
abf008,United States,195.36,False
a60505,United States,59.38,False
7101e2,Saudi Arabia,269.31,False
511172,Estonia,228.33,False
abb3be,United States,236.56,False
ab63f3,United States,50.12,False
8a02ae,Indonesia,223.11,False
ad3c2f,United States,0.0,True
abb3c3,United States,56.81,False
4bc8d3,Turkey,247.98,False
ac83d5,United States,213.96,False
a4d838,United States,0.0,True
4bc8d4,Turkey,261.29,False
a8e359,United States,51.37,False
3442cc,Spain,100.91,False
a963f7,United States,0.0,True
a1b2ee,United States,294.76,False
a35592,United States,189.63,False
47b217,Norway,249.56,False
acdffc,United States,216.16,False
801659,India,272.92,False
ad90a3,United States,260.36,False
471efc,Hungary,78.23,False
3c666f,Germany,241.5,False
ace6ef,United States,63.8,False
ac3688,United States,190.91,False
a59529,United States,25.31,False
7c6b3b,Australia,225.94,False
e8026f,Chile,204.92,False
a34e8a,United States,100.86,False
a3fee9,United States,152.7,False
e8026e,Chile,7.72,True
80165c,India,262.32,False
abfc71,United States,209.4,False
ac70c9,United States,2.06,True
aae377,United States,138.84,False
a59530,United States,174.34,False
e8026c,Chile,260.15,False
a4ab14,United States,0.0,True
801669,India,0.9,True
a3556f,United States,171.3,False
a9c6fa,United States,62.56,False
a46e6a,United States,185.49,False
ad4f86,United States,222.45,False
abf025,United States,189.73,False
a4c527,United States,87.46,False
e8027a,Chile,246.21,False
a53ee2,United States,198.0,False
a2cbdb,United States,118.24,False
ad5672,United States,61.24,False
ac21e4,United States,0.0,True
a94b51,United States,211.39,False
aa8075,United States,221.69,False
adda1e,United States,220.4,False
a94b50,United States,186.61,False
abad94,United States,145.74,False
a69b92,United States,167.42,False
a8dbd3,United States,266.03,False
a4b294,United States,260.31,False
a69b90,United States,244.85,False
a28402,United States,67.85,False
e80211,Chile,202.57,False
800396,India,240.69,False
a127d4,United States,48.22,False
e80218,Chile,221.22,False
3c65ad,Germany,266.86,False
86cfa0,Japan,193.77,False
a03d59,United States,206.74,False
4b187a,Switzerland,245.5,False
4b1884,Switzerland,215.08,False
8a0419,Indonesia,237.87,False
a0f4a7,United States,53.8,False
3c65c2,Germany,200.63,False
a6a2ca,United States,44.82,False
0d0af1,Mexico,209.13,False
a1773d,United States,0.06,True
0d0af7,Mexico,230.63,False
a14a09,United States,56.82,False
a10dd5,United States,162.24,False
e8021a,Chile,218.32,False
861f5e,Japan,213.75,False
a8f5be,United States,173.44,False
ade135,United States,28.11,False
a9653d,United States,194.14,False
aba15a,United States,44.44,False
4bc8ce,Turkey,246.69,False
