icao24,origin_country,velocity,on_ground
39de4f,France,191.51,False
39de4e,France,210.98,False
80162c,India,212.63,False
aa8c39,United States,261.82,False
39de4b,France,243.51,False
39de4a,France,219.03,False
88044e,Thailand,218.76,False
a678de,United States,73.71,False
88044d,Thailand,9.26,False
39de4c,France,97.81,False
39de57,France,142.52,False
801645,India,146.82,False
842194,Japan,8.75,True
c07d20,Canada,143.17,False
880454,Thailand,196.73,False
880453,Thailand,230.69,False
39de51,France,126.88,False
39de53,France,216.89,False
39de55,France,237.21,False
39de54,France,213.47,False
4b1803,Switzerland,1.03,True
4b1804,Switzerland,217.16,False
408114,United Kingdom,23.69,False
a34e6a,United States,190.83,False
4b1807,Switzerland,236.39,False
801648,India,184.42,False
4b1800,Switzerland,212.47,False
7c6b1c,Australia,226.92,False
4b1801,Switzerland,232.71,False
801657,India,246.39,False
7c6b39,Australia,217.41,False
ac2308,United States,220.02,False
a282e5,United States,244.27,False
4952ce,Portugal,210.33,False
a36898,United States,206.64,False
3d10c5,Germany,50.95,False
a665c5,United States,197.62,False
ace6b5,United States,70.12,False
80160a,India,207.12,False
80160b,India,154.71,False
801616,India,99.68,False
7c6b0b,Australia,133.56,False
ac96be,United States,231.97,False
a5822b,United States,112.76,False
a1befc,United States,244.57,False
801622,India,79.24,False
851914,Japan,229.34,False
a21b44,United States,0.0,True
4b181c,Switzerland,217.95,False
4952c9,Portugal,165.19,False
a57b4d,United States,196.3,False
a1fb33,United States,209.17,False
80161c,India,159.68,False
4952c1,Portugal,116.21,False
4952c2,Portugal,226.16,False
440daf,Austria,221.64,False
ad5628,United States,217.18,False
4952c4,Portugal,138.16,False
801626,India,95.29,False
acdfab,United States,4.63,True
4952c7,Portugal,219.6,False
801629,India,131.68,False
4b180c,Switzerland,1.54,True
801631,India,139.32,False
440db0,Austria,216.47,False
39de48,France,225.85,False
39de47,France,225.68,False
ac2f5a,United States,231.15,False
8a02ca,Indonesia,165.86,False
801632,India,275.91,False
7c6b17,Australia,245.21,False
39de40,France,226.6,False
80161d,India,271.89,False
39de42,France,229.29,False
4952ac,Portugal,250.69,False
39de41,France,211.57,False
39de44,France,212.99,False
3c6667,Germany,0.9,True
3c6666,Germany,206.48,False
ab0356,United States,263.32,False
aad012,United States,257.15,False
511189,Estonia,229.16,False
4952b2,Portugal,296.43,False
4acb01,Sweden,237.69,False
4b1855,Switzerland,273.18,False
