origin_country,total_flights,avg_velocity,on_ground
Algeria,10,191.453,0
Argentina,6,94.62666666666667,3
Australia,228,114.86035087719299,49
Austria,85,150.09729411764707,16
Azerbaijan,4,123.125,1
Bahrain,1,131.43,0
Bangladesh,8,91.89875,2
Belarus,2,90.155,0
Belgium,33,114.8360606060606,11
Bhutan,1,7.46,1
Brazil,74,194.95581081081082,1
Brunei Darussalam,2,227.85,0
Bulgaria,7,209.34,1
Cambodia,2,186.64499999999998,0
Canada,91,170.80076923076925,20
Chile,19,198.9105263157895,2
China,197,167.22329949238576,25
Colombia,3,245.83666666666667,0
Croatia,8,171.41125,1
Cyprus,3,196.20333333333335,0
Czech Republic,19,143.01789473684212,2
Denmark,43,164.1060465116279,1
Dominican Republic,1,235.07,0
Ecuador,1,265.19,0
Egypt,27,219.35814814814816,0
Estonia,5,89.83000000000001,3
Ethiopia,8,199.59,1
Finland,38,150.80921052631578,6
France,180,156.48555555555555,16
Georgia,3,104.43333333333334,2
Germany,248,143.5308064516129,33
Greece,47,153.77361702127658,5
Hungary,53,196.12,3
Iceland,5,202.60399999999998,0
India,207,167.55028985507244,23
Indonesia,61,207.45196721311476,2
Iraq,2,183.97,0
Ireland,259,176.12652509652509,29
Islamic Republic of Iran,4,114.69500000000001,1
Israel,33,160.25484848484848,3
Italy,47,103.86085106382978,5
Japan,168,166.80761904761906,23
Jordan,12,233.4225,0
Kazakhstan,2,189.16,0
Kingdom of the Netherlands,90,152.05022222222223,14
Kuwait,7,205.0442857142857,0
Lao People's Democratic Republic,1,184.04,0
Latvia,19,147.33894736842106,4
Lebanon,2,194.765,0
Libyan Arab Jamahiriya,4,203.7225,0
Lithuania,10,102.348,5
Luxembourg,26,184.62653846153847,0
Malaysia,55,174.85690909090908,5
Malta,143,179.71741258741258,15
Mexico,49,209.60285714285715,2
Mongolia,1,196.23,0
Morocco,21,213.08285714285714,1
Myanmar,5,195.994,0
Nepal,1,105.82,0
New Zealand,20,104.6665,7
Norway,44,142.77886363636364,4
Oman,5,205.302,0
Pakistan,4,225.3775,0
Panama,9,205.61222222222221,0
Philippines,42,163.74285714285713,3
Poland,97,156.3896907216495,7
Portugal,62,183.97145161290322,4
Qatar,83,204.72024096385542,5
Republic of Korea,86,170.4867441860465,13
Republic of Moldova,4,214.53,0
Romania,12,185.3166666666667,2
Russian Federation,44,168.82045454545454,2
San Marino,8,163.13625,0
Saudi Arabia,25,231.2888,0
Senegal,3,146.85666666666665,0
Serbia,12,122.575,3
Singapore,36,209.14742857142858,0
Slovakia,3,237.20666666666668,0
Slovenia,3,108.57333333333332,0
South Africa,24,139.27708333333334,2
Spain,166,187.42331325301205,3
Sri Lanka,2,210.065,0
Sweden,61,174.05442622950818,3
Switzerland,107,111.7411320754717,31
Syrian Arab Republic,3,232.90333333333334,0
Taiwan,62,171.8582258064516,7
Thailand,66,187.68424242424243,1
Trinidad and Tobago,1,5.66,1
Tunisia,12,194.1825,0
Turkey,233,191.27467811158797,11
Turkmenistan,1,202.94,0
Uganda,1,215.31,0
Ukraine,3,235.96666666666667,0
United Arab Emirates,130,202.59976923076923,5
United Kingdom,303,163.63237623762376,37
United Republic of Tanzania,3,154.66666666666666,0
United States,560,181.999,65
Uzbekistan,6,139.165,1
Viet Nam,9,222.22555555555556,0
Zambia,1,217.53,0
