origin_country,total_flights,avg_velocity,on_ground
Algeria,12,231.8116666666667,0
Angola,1,78.87,0
Argentina,15,190.93733333333333,0
Armenia,1,188.48,0
Australia,99,109.9784693877551,31
Austria,123,171.5252032520325,9
Azerbaijan,1,265.9,0
Bahrain,18,226.04444444444445,0
Bangladesh,14,96.04785714285715,2
Belarus,2,97.88,0
Belgium,37,172.4872972972973,4
Brazil,111,160.0154054054054,7
Brunei Darussalam,1,161.66,0
Bulgaria,7,98.35142857142857,2
Cambodia,2,63.205000000000005,1
Canada,164,123.74512195121952,57
Cape Verde,1,226.98,0
Chile,31,175.72096774193548,4
China,254,197.81350393700785,14
Colombia,16,92.00625,3
Croatia,6,178.03166666666667,0
Cyprus,3,156.85333333333332,1
Czech Republic,25,141.3416,1
Denmark,18,148.35666666666668,2
Dominican Republic,4,225.20499999999998,0
Egypt,39,180.14743589743588,4
Estonia,11,121.18636363636364,4
Ethiopia,8,200.8075,0
Finland,54,164.5325925925926,4
France,188,168.85898936170213,12
Georgia,8,174.50375,2
Germany,265,158.02898113207547,27
Greece,40,177.0515,1
Guatemala,8,41.8525,4
Hungary,53,191.84471698113208,2
Iceland,15,159.686,2
India,216,173.87125,18
Indonesia,44,212.45590909090907,0
Iraq,1,239.32,0
Ireland,238,186.05365546218485,18
Islamic Republic of Iran,2,132.415,0
Israel,34,195.2735294117647,0
Italy,30,144.212,2
Japan,152,185.9103947368421,14
Jordan,9,220.5,0
Kazakhstan,1,168.24,0
Kenya,3,247.66666666666666,0
Kingdom of the Netherlands,122,165.22696721311473,13
Kuwait,7,207.80428571428573,0
Lao People's Democratic Republic,1,203.75,0
Latvia,24,187.86333333333334,2
Lebanon,3,236.34666666666666,0
Libyan Arab Jamahiriya,4,205.3825,0
Lithuania,9,156.86333333333334,1
Luxembourg,24,173.95375,0
Malaysia,48,194.12166666666667,0
Malta,149,183.8189932885906,13
Mexico,34,150.75882352941176,8
Mongolia,1,190.71,0
Morocco,22,215.12363636363636,0
Myanmar,7,152.60285714285715,0
Nepal,1,8.75,1
New Zealand,13,192.16307692307691,0
Norway,35,144.96114285714287,1
Oman,15,203.17733333333334,1
Pakistan,4,255.335,0
Panama,9,225.39111111111112,0
Papua New Guinea,1,5.14,1
Philippines,35,137.37428571428572,8
Poland,95,164.86305263157894,7
Portugal,58,172.5344827586207,4
Qatar,81,228.21123456790124,1
Republic of Korea,106,198.2047169811321,3
Republic of Moldova,4,221.2875,0
Romania,17,196.9,0
Russian Federation,39,140.3179487179487,2
San Marino,7,142.24714285714285,2
Saudi Arabia,26,219.80076923076922,0
Senegal,1,66.97,0
Serbia,6,148.53833333333333,2
Singapore,45,196.70844444444444,3
Slovakia,1,30.19,0
Slovenia,2,224.995,0
South Africa,16,126.848125,1
Spain,193,175.60222797927463,7
Sri Lanka,3,125.57,1
Suriname,1,76.39,0
Sweden,82,155.0351219512195,11
Switzerland,102,123.13079207920791,32
Syrian Arab Republic,2,205.3,0
Taiwan,70,207.21757142857143,5
Tajikistan,1,218.58,0
Thailand,63,177.7522222222222,2
The former Yugoslav Republic of Macedonia,1,220.91,0
Tunisia,10,230.61399999999998,0
Turkey,245,194.75955102040814,11
Turkmenistan,2,200.61,0
Ukraine,6,184.96666666666667,0
United Arab Emirates,149,205.07825503355704,5
United Kingdom,400,153.1658,32
United Republic of Tanzania,4,95.295,0
United States,2130,155.57220657276994,259
Uruguay,1,215.15,0
Uzbekistan,2,277.255,0
Venezuela,1,151.35,0
Viet Nam,12,177.67416666666668,2
