origin_country,total_flights,avg_velocity,on_ground
Algeria,4,242.54500000000002,0
Angola,1,204.29,0
Argentina,25,174.7648,3
Armenia,1,4.63,1
Australia,319,108.45868338557993,82
Austria,41,170.16707317073173,7
Azerbaijan,2,405.725,0
Bahrain,12,211.5683333333333,0
Bangladesh,4,200.0,1
Belgium,4,89.53999999999999,2
Bhutan,1,0.0,1
Bolivia,1,254.89,0
Brazil,93,175.15763440860215,4
Bulgaria,7,239.70857142857145,0
Canada,385,152.4909090909091,64
Chad,1,313.88,0
Chile,37,197.08972972972973,1
China,107,194.5922429906542,13
Colombia,10,154.301,1
Croatia,1,210.26,0
Czech Republic,8,155.05125,2
Denmark,1,199.99,0
Dominican Republic,5,195.272,0
Egypt,22,216.64045454545456,1
Estonia,4,105.22500000000001,2
Ethiopia,22,239.4272727272727,0
Fiji,1,230.68,0
Finland,16,164.21125,1
France,44,173.13204545454548,5
Georgia,3,104.25999999999999,2
Germany,97,183.1339175257732,15
Greece,8,202.95499999999998,1
Guatemala,3,29.359999999999996,0
Hungary,24,213.7025,0
Iceland,15,133.63466666666667,5
India,76,190.8811842105263,11
Indonesia,27,214.02222222222224,2
Ireland,157,184.2467515923567,7
Israel,19,201.73157894736843,2
Italy,5,226.102,0
Japan,136,173.08742647058824,21
Jordan,6,249.37333333333333,0
Kazakhstan,2,129.805,0
Kenya,2,251.58499999999998,0
Kingdom of the Netherlands,34,196.30529411764707,3
Kuwait,6,266.34,0
Kyrgyzstan,1,286.03,0
Latvia,3,75.96333333333332,2
Lebanon,1,268.65,0
Libyan Arab Jamahiriya,1,109.59,0
Lithuania,2,123.745,1
Luxembourg,9,179.90444444444447,2
Malaysia,42,176.2959523809524,1
Maldives,3,235.36333333333332,0
Malta,77,195.70636363636362,3
Mauritania,1,186.74,0
Mexico,96,179.68604166666668,4
Morocco,11,223.51272727272726,0
Myanmar,2,117.645,1
Nepal,2,80.58,1
New Zealand,97,94.44835051546391,6
Nicaragua,1,55.94,0
Nigeria,1,275.6,0
Norway,11,127.85545454545455,1
Oman,8,196.90625,1
Pakistan,4,214.48000000000002,0
Panama,19,213.57,1
Papua New Guinea,3,245.17999999999998,0
Philippines,39,149.91333333333333,4
Poland,50,176.0488,4
Portugal,28,174.78821428571428,3
Qatar,54,203.81055555555557,3
Republic of Korea,76,189.8725,6
Republic of Moldova,6,232.9283333333333,0
Romania,7,228.29714285714286,0
Russian Federation,19,186.27157894736843,1
San Marino,2,229.825,0
Saudi Arabia,8,201.78,0
Serbia,3,43.77,1
Singapore,20,215.532,1
Slovakia,2,223.64,0
Slovenia,1,241.99,0
South Africa,1,220.13,0
Spain,76,165.75236842105264,9
Sri Lanka,8,199.8475,0
Sweden,19,127.33105263157894,3
Switzerland,19,163.58947368421053,6
Taiwan,44,180.09386363636364,8
Tajikistan,1,208.26,0
Thailand,33,175.54393939393938,4
Trinidad and Tobago,2,250.305,0
Tunisia,2,234.015,0
Turkey,97,212.31164948453608,3
Ukraine,7,180.31857142857143,0
United Arab Emirates,110,223.14754545454545,4
United Kingdom,146,190.59424657534245,15
United Republic of Tanzania,1,95.54,0
United States,5328,143.40739816031538,470
Uruguay,1,63.33,0
Uzbekistan,3,70.48333333333333,1
Viet Nam,18,171.65833333333333,2
