date,open,high,low,close,volume,day,month,year,day_name,month_name,daily_return_pct,intraday_volatility_pct
2001-08-24,104.68,107.8,101.4,106.99,33343800,24,8,2001,Friday,August,2.2067252579289147,6.113870844478401
2001-08-31,106.99,108.2,98.86,99.95,38331400,31,8,2001,Friday,August,-6.580054210673887,8.729787830638381
2001-09-07,100.15,103.13,96.0,96.59,41322600,7,9,2001,Friday,September,-3.554667998002998,7.119321018472287
2001-09-10,96.0,97.4,95.59,96.47,10311500,10,9,2001,Monday,September,0.48958333333333215,1.885416666666669
2001-09-21,93.9,96.85,89.5,90.5,75868900,21,9,2001,Friday,September,-3.620873269435575,7.827476038338651
2001-09-28,91.8,96.0,87.49,91.72,61809500,28,9,2001,Friday,September,-0.08714596949890882,9.270152505446628
2001-10-05,91.72,98.88,91.34,98.02,46507700,5,10,2001,Friday,October,6.868730920191886,8.220671609245521
2001-10-12,98.03,101.0,94.9,100.84,48258400,12,10,2001,Friday,October,2.866469448128126,6.222584922982755
2001-10-19,99.85,106.7,99.66,102.65,63537500,19,10,2001,Friday,October,2.804206309464208,7.050575863795701
2001-10-26,102.65,112.1,101.9,111.16,43172300,26,10,2001,Friday,October,8.290306867998043,9.936678032148064
2001-11-02,110.5,111.12,106.9,109.5,37116500,2,11,2001,Friday,November,-0.904977375565611,3.8190045248868767
2001-11-09,109.95,115.56,109.0,114.08,37385000,9,11,2001,Friday,November,3.756252842200996,5.966348340154617
2001-11-16,113.0,117.0,112.05,114.5,36592100,16,11,2001,Friday,November,1.3274336283185841,4.38053097345133
2001-11-23,114.7,116.8,113.05,115.35,17282200,23,11,2001,Friday,November,0.5666957279860431,3.2693984306887534
2001-11-30,115.9,116.4,111.81,115.59,29636100,30,11,2001,Friday,November,-0.267471958584989,3.9603106125970693
2001-12-07,114.8,121.98,113.21,120.4,45132800,7,12,2001,Friday,December,4.878048780487813,7.63937282229966
2001-12-14,120.0,123.21,119.41,121.1,36439000,14,12,2001,Friday,December,0.916666666666662,3.1666666666666643
2001-12-21,120.15,124.7,120.15,122.0,34859100,21,12,2001,Friday,December,1.5397419891801867,3.7869330004161443
2001-12-28,122.05,123.93,121.1,122.9,13450200,28,12,2001,Friday,December,0.6964358869315924,2.3187218353134065
2002-01-04,122.75,125.6,119.8,125.6,27402400,4,1,2002,Friday,January,2.3217922606924595,4.725050916496943
2002-01-11,125.0,126.39,120.28,120.31,31815400,11,1,2002,Friday,January,-3.7519999999999984,4.887999999999999
2002-01-18,120.0,120.55,112.81,114.25,50634800,18,1,2002,Friday,January,-4.791666666666667,6.449999999999996
2002-01-25,114.25,114.26,107.0,109.28,38030400,25,1,2002,Friday,January,-4.350109409190371,6.354485776805256
